Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
SOXL,32.17,2024/09/18,13:03 EDT,0.0099983215,32.54,32.77,31.32,35328447,,,,,,,
SOXS,24.179,2024/09/18,13:03 EDT,0.029001236,23.9,24.81,23.72,24408276,,,,,,,
RETL,9.0209,2024/09/18,13:01 EDT,-0.00909996,8.99,9.23,8.9554,113550,19691231,,,,,,
DRV,23.3101,2024/09/18,12:49 EDT,-0.00989914,23.26,23.51,23.0162,32778,19691231,,,,,,
DRN,13.4836,2024/09/18,13:03 EDT,-0.0564003,13.6,13.71,13.4,673634,19691231,,,,,,
DPST,99.3001,2024/09/18,13:03 EDT,-2.0098953,102.04,102.93,97.9387,486836,19691231,,,,,,
WDRW,40.76,2020/03/27,15:59 EDT,0.0,42.6,43.29,38.6009,40190,19691231,,,,,,
UPRO,81.47,2024/09/18,13:03 EDT,0.19000244,81.53,81.61,80.49,1121111,19691231,,,,,,
SPXU,26.1799,2024/09/18,13:03 EDT,-0.050100327,26.16,26.495,26.14,2876290,19691231,,,,,,
TMF,62.47,2024/09/18,13:03 EDT,-0.94999695,62.33,62.54,62.01,3545670,19691231,,,,,,
TMV,27.205,2024/09/18,13:03 EDT,0.4449997,27.24,27.39,27.18,997366,19691231,,,,,,
FINZ,6.12,2020/03/27,15:59 EDT,0.0,6.41,6.44,5.69,171083,19691231,,,,,,
FINU,24.33,2020/03/27,15:59 EDT,0.0,24.65,26.6024,22.7237,65578,19691231,,,,,,
SPXS,7.135,2024/09/18,13:03 EDT,-0.024999619,7.13,7.229,7.12,16374639,19691231,,,,,,
SPXL,154.7501,2024/09/18,13:03 EDT,0.37010193,154.88,155.05,152.89,921220,19691231,,,,,,
FAS,129.145,2024/09/18,13:03 EDT,-0.3849945,129.93,129.84,127.5103,182080,19691231,,,,,,
FAZ,8.0663,2024/09/18,13:03 EDT,0.016300201,8.05,8.17,8.03,2698720,19691231,,,,,,
TNA,42.999,2024/09/18,13:03 EDT,-0.22100067,43.16,43.805,42.59,7433211,19691231,,,,,,
TZA,14.14,2024/09/18,13:03 EDT,0.09000015,14.09,14.27,13.875,9867344,19691231,,,,,,
TECS,5.9699,2024/09/18,13:03 EDT,0.049900055,5.9,6.0936,5.88,7097441,19691231,,,,,,
MIDU,52.72,2024/09/18,13:03 EDT,-0.02999878,52.88,53.3999,52.31,26443,19691231,,,,,,
MIDZ,74.3298,2020/03/27,15:59 EDT,0.0,72.99,74.55,66.1,120615,19691231,,,,,,
TECL,79.8001,2024/09/18,13:03 EDT,-0.5598984,80.91,80.91,78.08,369286,19691231,,,,,,
NAIL,162.55,2024/09/18,13:03 EDT,-2.5299988,166.04,166.4085,160.12,176913,19691231,,,,,,
KSA,41.615,2024/09/18,13:01 EDT,0.24500275,41.465,41.615,41.53,124028,,,,,,,
ITEQ,46.07,2024/09/18,12:55 EDT,-0.20170212,46.23,46.23,45.88,8842,,,,,,,
TUR,36.89,2024/09/18,13:01 EDT,0.15999985,36.7756,37.0918,36.7756,32326,,,,,,,
YINN,21.74,2024/09/18,13:00 EDT,-0.38000107,22.37,22.4,21.65,762626,19691231,,,,,,
YANG,8.49,2024/09/18,12:57 EDT,0.13999939,8.26,8.5299,8.255,1748879,19691231,,,,,,
BRZU,72.68,2024/09/18,12:47 EDT,-0.91999817,73.32,73.64,72.285,10675,19691231,,,,,,
KORU,6.83,2024/09/18,13:03 EDT,-0.010000229,6.86,6.94,6.72,106416,19691231,,,,,,
RUSL,2.58,2022/03/03,16:00 EST,0.0,2.87,2.88,2.53,0,19691231,,,,,,
RUSS,9.09,2020/03/27,15:59 EDT,0.0,9.13,9.43,8.75,542575,19691231,,,,,,
UGAZ,10.82,2020/07/10,16:00 EDT,0.0,10.81,11.25,10.61,8334503,19691231,,,,,,
DGAZ,452.31,2020/07/10,15:59 EDT,0.0,430.0,470.0,428.75,22047,19691231,,,,,,
ERX,59.4,2024/09/18,13:03 EDT,0.55000305,58.765,59.525,58.54,384394,19691231,,,,,,
